idmembers,surname,first_name,year_of_birth,year_of_death
18,Börnstein,"Richard Leopold",1852,1913
101,Ryder,"Carl H.",1858,1923
35,Engler,Arnold,1869,1923
3,Angot,"(Charles) Alfred",1848,1924
58,Hartman,"Christian M. A.",1866,1925
21,Brounov,"Peter Ivanovich",1853,1927
5,Askinazy,"Vladimir Osipovic",1873,1928
31,Dongier,Raphaël,1866,1929
41,Figuereido,"Filipe Eduardo de Almeida",1858,1930
88,Palazzo,Luigi,1861,1933
14,Berloty,"(Révérend Père) Bonaventure",1856,1934
51,Girola,"Carlos de Alberti",1869,1934
61,Hiltner,Erhard,1893,1934
32,Dop,Louis,1866,1935
54,"van Gulik",Dirk,1868,1935
126,Wallén,"Axel Wilhelm",1877,1935
119,Sophoterow,"Nikolai Kvintilianovich",1881,1935
129,Wery,"Georges Eugène",1861,1936
107,Schmidt,"Wilhelm Mathäus",1883,1936
108,Schönrock,"Alexander Michajlovič",1853,1937
59,Hergesell,Hugo,1859,1938
81,Melander,Gustaf,1861,1938
121,Stupart,"(Robert) Frédérick",1857,1940
113,Shutt,"Frank Thomas",1859,1940
118,Smith,"John Warren",1863,1940
63,Holdefleiss,Paul,1865,1940
65,Hubert,Henry,1879,1941
80,Mathias,Émile,1861,1942
28,"La Cour",Dan,1876,1942
131,Whipple,"Francis John Welsh",1876,1943
64,Hooker,"Reginald Hawthorn",1867,1944
112,Shaw,"William Napier",1854,1945
69,Kessler,"Otto Wilhelm",1899,1945
97,Rey,Pierre,1876,1946
109,Schubert,Johannes,1859,1947
13,Bergeiro,"José Maria",1906,1947
36,Eredia,Filippo,1877,1948
39,Feige,Rudolf,1889,1948
26,Chaptal,Léon,1882,1949
11,Berce,"Richard Jules",1899,1949
44,Fleischmann,Rudolf,1879,1950
30,Delcambre,Émile,1871,1951
47,Galbis,José,1868,1952
55,Gumiński,Romuald,1896,1952
10,Bates,"Daniel Cross",1868,1954
70,Kincer,"Joseph Burton",1874,1954
37,"van Everdingen",Ewoud,1873,1955
16,Birkeland,"Bernt Johannes",1879,1955
27,Connor,"Abraham James",1884,1955
2,Åkerman,Ake,1887,1955
89,Patterson,John,1872,1956
87,Okada,Takematsu,1874,1956
29,Deij,"Lodewijk Jan Leonardus",1907,1956
8,Bamford,"Alec Joscelyne",1855,1957
74,Korhonen,"Ville Vihtori",1885,1958
103,Sanson,Joseph,1889,1958
62,Hirata,Tokutarō,1880,1960
110,Seelye,"Cassilis James",1912,1960
130,Westerdijk,Johanna,1883,1961
34,Durst,"Charles Sumner",1888,1961
71,Kiroff,"Kiro T.",1897,1961
43,Fisher,"Ronald Aylmer",1890,1962
93,Proudhomme,Émile,1871,1963
82,Mercanton,"Paul Louis",1876,1963
124,Taylor,"Thomas Griffith",1880,1963
114,Simpson,"George Clarke",1878,1965
53,Gomes,"Mário  de Azevedo",1885,1965
128,Wehrlé,Philippe,1890,1965
22,Bureau,Robert,1892,1965
9,Barloti,Jānis,1895,1965
92,Poncelet,Lucien,1902,1965
40,Ferraz,"Joaquim de Sampaio",1882,1966
60,Hesselberg,"(Hans) Theodor",1885,1966
111,Selianinov,"Georgyi Timofeyevich",1887,1966
104,Sarle,"Charles Faye",1892,1966
75,Koschmieder,Harald,1897,1966
33,Duckert,"Paul A. O. ",1900,1966
50,Gillen,"Mathias Joseph",1891,1967
45,Foley,"James Charles",1892,1967
57,Hansen,"Hans Jensen",1875,1968
73,Koloskov,"Pavel Ivanovic",1887,1968
115,Sinelshikov,"Victor Vasilyevich",1909,1968
6,Azzi,Girolamo,1885,1969
25,Carton,Paul,1891,1969
46,"Fontseré i Riba",Eduardo,1870,1970
125,Tiscornia,José,1902,1970
12,Berényi,Dénes,1900,1971
24,"da Câmara","António Pereira de Sousa ",1901,1971
127,Walter,Albert,1877,1972
72,Knoch,Karl,1883,1972
20,Braak,Cornelis,1880,1973
105,Schedler,Anton,1891,1973
100,Roy,"A. K.",1900,1973
96,Réthly,Anton,1879,1975
99,Roncali,Giorgio,1903,1975
102,"Sabucedo del Arenal",Serafin,1889,1976
78,Lugeon,Jean,1898,1976
49,Geslin,Henri,1899,1976
94,Putnam,"Donald Fulton",1903,1977
1,Agostinho,José,1888,1978
17,"de Boer","Herman Johannes",1904,1978
68,Keränen,Jaakko,1883,1979
95,Ramdas,"Lakshminarayanapuram Ananthakrishnaiyer",1900,1979
4,Ångstrøm,"Anders Knutsson",1888,1981
67,Keen,"Bernard A. ",1890,1981
48,Geiger,Rudolf,1894,1981
56,Hagem,Oscar,1885,1982
85,Normand,"Charles William Blyth",1889,1982
116,Siriez,Henri,1906,1982
77,"Lorente Pérez","Jose Maria",1891,1983
84,Nagle,"Austen H.",1903,1984
19,Boughner,"Clarence Clarkson",1910,1985
66,Jacobs,"Woodrow Cooper",1909,1990
79,Mariolopulos,"Elias G.",1900,1991
98,Ripley,"Philip Oscar",1900,1991
52,Godard,Marcelin,1909,1994
15,Bernard,"Etienne A.",1917,1998
23,Burgos,"Juan Jacinto",1915,1999
