idmembers,surname,first_name,year_of_birth
7,Balkan,Aziz,NULL
38,Fahmy,Hassan,NULL
42,Findiklis,"Theoklitos Th.",NULL
86,Nuño,Waldo,NULL
90,Peake,"J. S.",NULL
91,"Pires Xavier",Raul,NULL
106,Schindler,Pierre,NULL
117,Smit,"H. P.",NULL
120,Stewart,"Charles M.",NULL
122,Sutton,"L. J.",NULL
123,T'U,"Chang Wang",NULL
3,Angot,"(Charles) Alfred",1848
18,Börnstein,"Richard Leopold",1852
21,Brounov,"Peter Ivanovich",1853
108,Schönrock,"Alexander Michajlovič",1853
112,Shaw,"William Napier",1854
8,Bamford,"Alec Joscelyne",1855
14,Berloty,"(Révérend Père) Bonaventure",1856
121,Stupart,"(Robert) Frédérick",1857
41,Figuereido,"Filipe Eduardo de Almeida",1858
101,Ryder,"Carl H.",1858
59,Hergesell,Hugo,1859
109,Schubert,Johannes,1859
113,Shutt,"Frank Thomas",1859
80,Mathias,Émile,1861
81,Melander,Gustaf,1861
88,Palazzo,Luigi,1861
129,Wery,"Georges Eugène",1861
118,Smith,"John Warren",1863
63,Holdefleiss,Paul,1865
31,Dongier,Raphaël,1866
32,Dop,Louis,1866
58,Hartman,"Christian M. A.",1866
64,Hooker,"Reginald Hawthorn",1867
10,Bates,"Daniel Cross",1868
47,Galbis,José,1868
54,"van Gulik",Dirk,1868
35,Engler,Arnold,1869
51,Girola,"Carlos de Alberti",1869
46,"Fontseré i Riba",Eduardo,1870
30,Delcambre,Émile,1871
93,Proudhomme,Émile,1871
89,Patterson,John,1872
5,Askinazy,"Vladimir Osipovic",1873
37,"van Everdingen",Ewoud,1873
70,Kincer,"Joseph Burton",1874
87,Okada,Takematsu,1874
57,Hansen,"Hans Jensen",1875
28,"La Cour",Dan,1876
82,Mercanton,"Paul Louis",1876
97,Rey,Pierre,1876
131,Whipple,"Francis John Welsh",1876
36,Eredia,Filippo,1877
126,Wallén,"Axel Wilhelm",1877
127,Walter,Albert,1877
114,Simpson,"George Clarke",1878
16,Birkeland,"Bernt Johannes",1879
44,Fleischmann,Rudolf,1879
65,Hubert,Henry,1879
83,"Meseguer y Marin",Enrique,1879
96,Réthly,Anton,1879
20,Braak,Cornelis,1880
62,Hirata,Tokutarō,1880
124,Taylor,"Thomas Griffith",1880
119,Sophoterow,"Nikolai Kvintilianovich",1881
26,Chaptal,Léon,1882
40,Ferraz,"Joaquim de Sampaio",1882
68,Keränen,Jaakko,1883
72,Knoch,Karl,1883
107,Schmidt,"Wilhelm Mathäus",1883
130,Westerdijk,Johanna,1883
27,Connor,"Abraham James",1884
6,Azzi,Girolamo,1885
53,Gomes,"Mário  de Azevedo",1885
56,Hagem,Oscar,1885
60,Hesselberg,"(Hans) Theodor",1885
74,Korhonen,"Ville Vihtori",1885
2,Åkerman,Ake,1887
73,Koloskov,"Pavel Ivanovic",1887
111,Selianinov,"Georgyi Timofeyevich",1887
1,Agostinho,José,1888
4,Ångstrøm,"Anders Knutsson",1888
34,Durst,"Charles Sumner",1888
39,Feige,Rudolf,1889
85,Normand,"Charles William Blyth",1889
102,"Sabucedo del Arenal",Serafin,1889
103,Sanson,Joseph,1889
43,Fisher,"Ronald Aylmer",1890
67,Keen,"Bernard A. ",1890
128,Wehrlé,Philippe,1890
25,Carton,Paul,1891
50,Gillen,"Mathias Joseph",1891
77,"Lorente Pérez","Jose Maria",1891
105,Schedler,Anton,1891
22,Bureau,Robert,1892
45,Foley,"James Charles",1892
104,Sarle,"Charles Faye",1892
61,Hiltner,Erhard,1893
48,Geiger,Rudolf,1894
9,Barloti,Jānis,1895
76,Hirschhorn,Julio,1895
55,Gumiński,Romuald,1896
71,Kiroff,"Kiro T.",1897
75,Koschmieder,Harald,1897
78,Lugeon,Jean,1898
11,Berce,"Richard Jules",1899
49,Geslin,Henri,1899
69,Kessler,"Otto Wilhelm",1899
12,Berényi,Dénes,1900
33,Duckert,"Paul A. O. ",1900
79,Mariolopulos,"Elias G.",1900
95,Ramdas,"Lakshminarayanapuram Ananthakrishnaiyer",1900
98,Ripley,"Philip Oscar",1900
100,Roy,"A. K.",1900
24,"da Câmara","António Pereira de Sousa ",1901
92,Poncelet,Lucien,1902
125,Tiscornia,José,1902
84,Nagle,"Austen H.",1903
94,Putnam,"Donald Fulton",1903
99,Roncali,Giorgio,1903
17,"de Boer","Herman Johannes",1904
13,Bergeiro,"José Maria",1906
116,Siriez,Henri,1906
29,Deij,"Lodewijk Jan Leonardus",1907
132,"Zender Honigman",Jacobo,1908
52,Godard,Marcelin,1909
66,Jacobs,"Woodrow Cooper",1909
115,Sinelshikov,"Victor Vasilyevich",1909
19,Boughner,"Clarence Clarkson",1910
110,Seelye,"Cassilis James",1912
23,Burgos,"Juan Jacinto",1915
15,Bernard,"Etienne A.",1917
